region,date,value
KYZYLORDA REGION,2002-12-31,170200
KYZYLORDA REGION,2013-12-31,1983000
KYZYLORDA REGION,2005-12-31,394000
KYZYLORDA REGION,2004-12-31,294900
KYZYLORDA REGION,2015-12-31,1534300
KYZYLORDA REGION,2006-12-31,585200
KYZYLORDA REGION,2000-12-31,96300
KYZYLORDA REGION,2003-12-31,224600
KYZYLORDA REGION,2001-12-31,122200
KYZYLORDA REGION,2011-12-31,1611900
KYZYLORDA REGION,2014-12-31,1848900
KYZYLORDA REGION,2012-12-31,1764400
KYZYLORDA REGION,2009-12-31,937400
KYZYLORDA REGION,2008-12-31,1075900
KYZYLORDA REGION,2007-12-31,794700
KYZYLORDA REGION,2010-12-31,1236500
KYZYLORDA REGION,2016-12-31,1701100
KYZYLORDA REGION,2017-12-31,1839000
KYZYLORDA REGION,2018-12-31,2088400
KYZYLORDA REGION,2019-12-31,2289100
KYZYLORDA REGION,2021-12-31,2345100
KYZYLORDA REGION,2020-12-31,2033300
NORTH KAZAKHSTAN REGION,2004-12-31,226700
NORTH KAZAKHSTAN REGION,2006-12-31,357800
NORTH KAZAKHSTAN REGION,2003-12-31,207100
NORTH KAZAKHSTAN REGION,2000-12-31,100400
NORTH KAZAKHSTAN REGION,2015-12-31,1467200
NORTH KAZAKHSTAN REGION,2002-12-31,162200
NORTH KAZAKHSTAN REGION,2001-12-31,141700
NORTH KAZAKHSTAN REGION,2013-12-31,1298200
NORTH KAZAKHSTAN REGION,2011-12-31,1136700
NORTH KAZAKHSTAN REGION,2005-12-31,277900
NORTH KAZAKHSTAN REGION,2014-12-31,1386600
NORTH KAZAKHSTAN REGION,2012-12-31,1168600
NORTH KAZAKHSTAN REGION,2009-12-31,625500
NORTH KAZAKHSTAN REGION,2008-12-31,619000
NORTH KAZAKHSTAN REGION,2007-12-31,487400
NORTH KAZAKHSTAN REGION,2010-12-31,790100
NORTH KAZAKHSTAN REGION,2016-12-31,1621000
NORTH KAZAKHSTAN REGION,2017-12-31,1985900
NORTH KAZAKHSTAN REGION,2018-12-31,2177700
NORTH KAZAKHSTAN REGION,2019-12-31,2505900
NORTH KAZAKHSTAN REGION,2021-12-31,3313800
NORTH KAZAKHSTAN REGION,2020-12-31,2877700
KOSTANAY REGION,2011-12-31,1288200
KOSTANAY REGION,2015-12-31,1561700
KOSTANAY REGION,2013-12-31,1531500
KOSTANAY REGION,2002-12-31,199600
KOSTANAY REGION,2003-12-31,256500
KOSTANAY REGION,2006-12-31,429500
KOSTANAY REGION,2005-12-31,356500
KOSTANAY REGION,2001-12-31,181200
KOSTANAY REGION,2000-12-31,163100
KOSTANAY REGION,2004-12-31,299100
KOSTANAY REGION,2014-12-31,1583100
KOSTANAY REGION,2012-12-31,1308000
KOSTANAY REGION,2009-12-31,815300
KOSTANAY REGION,2008-12-31,789700
KOSTANAY REGION,2007-12-31,624500
KOSTANAY REGION,2010-12-31,970800
KOSTANAY REGION,2016-12-31,1727000
KOSTANAY REGION,2017-12-31,2108900
KOSTANAY REGION,2018-12-31,2367100
KOSTANAY REGION,2019-12-31,2815900
KOSTANAY REGION,2021-12-31,4082800
KOSTANAY REGION,2020-12-31,3314500
WEST KAZAKHSTAN REGION,2006-12-31,838600
WEST KAZAKHSTAN REGION,2013-12-31,2868100
WEST KAZAKHSTAN REGION,2003-12-31,333100
WEST KAZAKHSTAN REGION,2001-12-31,249500
WEST KAZAKHSTAN REGION,2004-12-31,589800
WEST KAZAKHSTAN REGION,2015-12-31,2699600
WEST KAZAKHSTAN REGION,2000-12-31,195500
WEST KAZAKHSTAN REGION,2002-12-31,296700
WEST KAZAKHSTAN REGION,2011-12-31,2225400
WEST KAZAKHSTAN REGION,2005-12-31,659800
WEST KAZAKHSTAN REGION,2014-12-31,3170400
WEST KAZAKHSTAN REGION,2012-12-31,2865900
WEST KAZAKHSTAN REGION,2009-12-31,1324200
WEST KAZAKHSTAN REGION,2008-12-31,1339400
WEST KAZAKHSTAN REGION,2007-12-31,1006200
WEST KAZAKHSTAN REGION,2010-12-31,1730400
WEST KAZAKHSTAN REGION,2016-12-31,3179800
WEST KAZAKHSTAN REGION,2017-12-31,3628400
WEST KAZAKHSTAN REGION,2018-12-31,4295800
WEST KAZAKHSTAN REGION,2019-12-31,4501200
WEST KAZAKHSTAN REGION,2021-12-31,5323600
WEST KAZAKHSTAN REGION,2020-12-31,4151200
SOUTH KAZAKHSTAN REGION,2006-12-31,187600
SOUTH KAZAKHSTAN REGION,2013-12-31,791300
SOUTH KAZAKHSTAN REGION,2005-12-31,161700
SOUTH KAZAKHSTAN REGION,2000-12-31,88300
SOUTH KAZAKHSTAN REGION,2015-12-31,891100
SOUTH KAZAKHSTAN REGION,2003-12-31,145800
SOUTH KAZAKHSTAN REGION,2011-12-31,583000
SOUTH KAZAKHSTAN REGION,2002-12-31,117100
SOUTH KAZAKHSTAN REGION,2004-12-31,142700
SOUTH KAZAKHSTAN REGION,2001-12-31,114100
SOUTH KAZAKHSTAN REGION,2014-12-31,868900
SOUTH KAZAKHSTAN REGION,2012-12-31,705100
SOUTH KAZAKHSTAN REGION,2009-12-31,384800
SOUTH KAZAKHSTAN REGION,2008-12-31,310400
SOUTH KAZAKHSTAN REGION,2007-12-31,265200
SOUTH KAZAKHSTAN REGION,2010-12-31,474600
SOUTH KAZAKHSTAN REGION,2016-12-31,975300
SOUTH KAZAKHSTAN REGION,2017-12-31,1097700
PAVLODAR REGION,2006-12-31,621300
PAVLODAR REGION,2011-12-31,2036700
PAVLODAR REGION,2013-12-31,2341300
PAVLODAR REGION,2015-12-31,2293100
PAVLODAR REGION,2000-12-31,214400
PAVLODAR REGION,2003-12-31,359700
PAVLODAR REGION,2005-12-31,516600
PAVLODAR REGION,2004-12-31,449000
PAVLODAR REGION,2001-12-31,266200
PAVLODAR REGION,2002-12-31,286900
PAVLODAR REGION,2014-12-31,2315800
PAVLODAR REGION,2012-12-31,2032800
PAVLODAR REGION,2009-12-31,1150800
